"","yearMonth15","station_id","depth","A-TOT","BOD5","Chl-a","CO2","Density","NH4-N","NO2-N","NO3-N","NO3-N + NO2-N","NO3/PO4","O2","O2_sat","Org-N","pH","PO4-P","SAL","SECCHI","SiO3-Si","T","TOT-N","TOT-N/TOT-P","TOT-P"
"122",1980-04-15,"000K",5,1.88,NA,NA,1.48,28.53,0.01,0.04,0.37,0.41,4.11,287.61,104.7,NA,8.39,0.09,37.14,NA,NA,10.6,NA,NA,0.41
"123",1980-04-15,"000K",10,1.88,NA,NA,1.48,28.39,0.2,0.03,0.4,0.43,20,269.3,99,NA,8.35,0.02,37.07,NA,NA,11.1,NA,NA,0.12
"124",1980-04-15,"000K",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.94,NA,NA,NA,NA,NA,NA
"125",1980-04-15,"00MA",0,2.99,NA,NA,2.58,28.62,0.01,0.1,0.74,0.84,0.21,281.8,102.6,NA,8.4,3.45,37.25,NA,NA,10.6,NA,NA,3.95
"126",1980-04-15,"00MA",5,2.91,NA,NA,2.47,28.68,3.44,0.12,0.63,0.75,0.66,276.45,99.4,NA,8.41,0.95,37.19,NA,NA,10.03,NA,NA,1.18
"127",1980-04-15,"00MA",10,2.95,NA,NA,2.51,28.6,0.01,0.02,0.89,0.91,89,278.23,100,NA,8.41,0.01,37.1,NA,NA,10.04,NA,NA,0.83
"128",1980-04-15,"00MA",16,2.96,NA,NA,2.48,28.75,0.99,0.02,0.54,0.56,9,280.91,100.5,NA,8.43,0.06,37.23,NA,NA,9.82,NA,NA,0.43
"129",1980-05-15,"000K",0,2.6,47.34,NA,2.16,28.2,1.27,0.02,0.24,0.26,3.43,268.85,111,NA,8.42,0.07,38.39,NA,NA,16.4,NA,NA,0.38
"130",1980-05-15,"000K",5,2.75,NA,NA,2.26,28.77,1.39,0.03,0.22,0.25,11,259.47,103.9,NA,8.44,0.02,38.57,NA,NA,14.85,NA,NA,0.35
"131",1980-05-15,"000K",10,2.72,NA,NA,2.33,29.13,1.39,0.02,0.17,0.19,8.5,269.3,107,NA,8.3,0.02,38.87,NA,NA,14.33,NA,NA,0.43
"132",1980-05-15,"000K",16,2.7,26.8,NA,2.29,29.3,0.14,0.03,0.33,0.36,11,261.26,101.2,NA,8.34,0.03,38.75,NA,NA,13.06,NA,NA,0.1
"133",1980-05-15,"00MA",0,2.82,NA,NA,2.34,24.75,0.41,0.06,1.07,1.13,2.02,238.04,97.1,NA,8.42,0.53,34,NA,NA,17.1,NA,NA,2.17
"134",1980-05-15,"00MA",5,2.89,NA,NA,2.36,25.42,1.69,0.05,0.04,0.09,0.27,238.48,96.4,NA,8.44,0.15,34.65,NA,NA,16.37,NA,NA,0.41
"135",1980-05-15,"00MA",10,2.82,NA,NA,2.3,28.16,0.01,0.1,0.03,0.13,0.19,239.82,98.2,NA,8.45,0.16,38.13,NA,NA,16.04,NA,NA,1.02
"136",1980-05-15,"00MA",16,2.75,NA,NA,2.22,28.48,13.23,0.02,0.34,0.36,3.78,242.5,99.1,NA,8.47,0.09,38.48,NA,NA,15.83,NA,NA,0.1
"137",1980-06-15,"000K",0,2.84,30.82,NA,2.31,23.56,2.75,0.08,1.9,1.98,27.14,255.9,114.7,NA,8.45,0.07,34.13,NA,NA,22.1,NA,NA,0.49
"138",1980-06-15,"000K",5,2.14,26.35,NA,2.54,24.41,1.12,0.08,1.6,1.68,7.27,256.8,113.4,NA,8.48,0.22,34.88,NA,NA,21.1,NA,NA,1.47
"139",1980-06-15,"000K",10,2.82,30.82,NA,2.26,24.3,0.84,0.08,1.03,1.11,3.55,258.58,113.7,NA,8.49,0.29,35.16,NA,NA,20.7,NA,NA,0.3
"140",1980-06-15,"000K",16,2.82,44.66,NA,2.28,26.1,0.01,0.1,0.44,0.54,1.42,258.13,110.5,NA,8.45,0.31,36.38,NA,NA,19,NA,NA,2.91
"141",1980-06-15,"00MA",0,2.83,NA,NA,2.36,24.8,0.04,0.07,0.36,0.43,1.29,253.22,111.5,NA,8.39,0.28,35.3,NA,NA,20.8,NA,NA,0.96
"142",1980-06-15,"00MA",5,2.82,NA,NA,2.33,24.85,2.37,0.04,0.32,0.36,1.03,240.27,106.5,NA,8.39,0.31,35.46,NA,NA,21.1,NA,NA,0.6
"143",1980-06-15,"00MA",10,2.81,NA,NA,2.35,25.13,2.42,0.12,0.21,0.33,1.11,254.56,112.1,NA,8.39,0.19,35.66,NA,NA,20.6,NA,NA,0.16
